code,num
C1072,749.94
C1128,1307.81
C1456,539.84
C1840,550.86
C1332,1162.95
C1563,1554.74
C1794,799.95
C1640,500.03
C1377,388.18
C2072,276.5
C1472,437.87
C1006,359.38
C1083,380.15
C1311,281.04
C2676,363.46
C2318,247.35
C1603,425.07
C2523,263.86
C2177,180.52
C2411,695.91
C2033,216.96
C1604,449.67
C2535,526.4
C1040,514.98
C2417,510.87
C1812,148.62
C2253,141.31
C1294,527.41
C1772,576.61
C2646,541.08
C1152,1014.72
C2423,106.92
C1844,511.42
C1318,246.42
C1729,100.69
C1602,262.18
C1239,407.5
C1721,604.59
C1902,917.74
C1855,260.93
C2600,421.71
C1071,438.44
C2295,389.19
C1621,552.58
C1852,856.47
C2555,1043.78
C1297,499.39
C2323,616.76
C2215,353.85
C2112,413.47
C1830,841.17
C2602,270.84
C2608,976.34
C1215,682.74
C2369,607.11
C1158,306.64
C1887,537.53
C1189,281.98
C1637,462.07
C1225,117.95
C2374,374.33
C2397,550.48
C1105,841.15
C1782,391.42
C1629,129.73
C1708,256.85
C2144,544.85
C1617,772.26
C1149,628.18
C1323,530.7
C1064,663.12
C1019,267.78
C2269,624.76
C1416,886.01
C1250,828.33
C1741,465.72
C1016,704.25
C2675,1028.48
C2436,679.5
C2039,864.65
C1253,812.75
C2028,1148.15
C1166,277.76
C1135,290.91
C1216,283.06
C1593,219.05
C1826,234.53
C1827,401.94
C1564,259.33
C1495,792.81
C2653,874.32
C1392,558.43
C2128,254.01
C1282,636.35
C1521,963.63
C2076,935.67
C1060,634.48
C2473,919.36
C2557,905.6
C1835,861.35
C2224,825.71
C2222,417.68
C2430,785.69
C2497,639.81
C1494,945.9
C1457,640.84
C1525,1069.58
C1712,567.95
C2267,874.73
C1623,267.07
C2131,528.21
C2691,1095.35
C1147,792.66
C1692,886.17
C1570,784.25
C1474,108.89
C1633,161.21
C2113,597.5
C2175,795.31
C2303,1239.43
C2547,571.35
C2292,748.26
C1496,642.14
C1289,428.51
C1849,673.25
C1003,283.11
C2268,577.84
C2551,649.99
C2688,94.3
C1030,25.66
C1327,98.51
C2451,542.94
C1749,649.89
C1349,271.18
C2043,294.51
C1229,263.78
C2363,442.57
C1414,505.5
C2174,530.7
C2091,101.79
C2335,589.42
C1841,51.72
C2404,101.99
C1683,276.06
C1038,371.86
C2456,238.32
C1266,492.09
C2152,29.78
C1267,422.92
C2189,258.7
