"시도(1)","시군구(1)","시점","항목","레벨01(1)",데이터
"서울","계","2020. 01","관용","승용",4576
"서울","계","2020. 01","관용","승합",3475
"서울","계","2020. 01","관용","화물",3968
"서울","계","2020. 01","관용","특수",354
"서울","계","2020. 01","자가용","승용",2542280
"서울","계","2020. 01","자가용","승합",92965
"서울","계","2020. 01","자가용","화물",269582
"서울","계","2020. 01","자가용","특수",2961
"서울","계","2020. 01","영업용","승용",127057
"서울","계","2020. 01","영업용","승합",17565
"서울","계","2020. 01","영업용","화물",57819
"서울","계","2020. 01","영업용","특수",4964
"부산","계","2020. 01","관용","승용",1726
"부산","계","2020. 01","관용","승합",1232
"부산","계","2020. 01","관용","화물",1615
"부산","계","2020. 01","관용","특수",130
"부산","계","2020. 01","자가용","승용",1079059
"부산","계","2020. 01","자가용","승합",36158
"부산","계","2020. 01","자가용","화물",153093
"부산","계","2020. 01","자가용","특수",1589
"부산","계","2020. 01","영업용","승용",73760
"부산","계","2020. 01","영업용","승합",6228
"부산","계","2020. 01","영업용","화물",33635
"부산","계","2020. 01","영업용","특수",8833
"대구","계","2020. 01","관용","승용",964
"대구","계","2020. 01","관용","승합",872
"대구","계","2020. 01","관용","화물",1346
"대구","계","2020. 01","관용","특수",119
"대구","계","2020. 01","자가용","승용",968401
"대구","계","2020. 01","자가용","승합",26633
"대구","계","2020. 01","자가용","화물",140080
"대구","계","2020. 01","자가용","특수",958
"대구","계","2020. 01","영업용","승용",26939
"대구","계","2020. 01","영업용","승합",4122
"대구","계","2020. 01","영업용","화물",19106
"대구","계","2020. 01","영업용","특수",1949
"광주","계","2020. 01","관용","승용",793
"광주","계","2020. 01","관용","승합",604
"광주","계","2020. 01","관용","화물",727
"광주","계","2020. 01","관용","특수",79
"광주","계","2020. 01","자가용","승용",545858
"광주","계","2020. 01","자가용","승합",17305
"광주","계","2020. 01","자가용","화물",79108
"광주","계","2020. 01","자가용","특수",855
"광주","계","2020. 01","영업용","승용",15341
"광주","계","2020. 01","영업용","승합",2535
"광주","계","2020. 01","영업용","화물",12918
"광주","계","2020. 01","영업용","특수",1810
"대전","계","2020. 01","관용","승용",658
"대전","계","2020. 01","관용","승합",531
"대전","계","2020. 01","관용","화물",636
"대전","계","2020. 01","관용","특수",75
"대전","계","2020. 01","자가용","승용",549724
"대전","계","2020. 01","자가용","승합",18297
"대전","계","2020. 01","자가용","화물",74849
"대전","계","2020. 01","자가용","특수",806
"대전","계","2020. 01","영업용","승용",14457
"대전","계","2020. 01","영업용","승합",2168
"대전","계","2020. 01","영업용","화물",11442
"대전","계","2020. 01","영업용","특수",1622
"울산","계","2020. 01","관용","승용",690
"울산","계","2020. 01","관용","승합",430
"울산","계","2020. 01","관용","화물",639
"울산","계","2020. 01","관용","특수",43
"울산","계","2020. 01","자가용","승용",468669
"울산","계","2020. 01","자가용","승합",12615
"울산","계","2020. 01","자가용","화물",61557
"울산","계","2020. 01","자가용","특수",592
"울산","계","2020. 01","영업용","승용",7954
"울산","계","2020. 01","영업용","승합",1986
"울산","계","2020. 01","영업용","화물",9293
"울산","계","2020. 01","영업용","특수",2127
"경기","계","2020. 01","관용","승용",7177
"경기","계","2020. 01","관용","승합",4131
"경기","계","2020. 01","관용","화물",5582
"경기","계","2020. 01","관용","특수",497
"경기","계","2020. 01","자가용","승용",4670232
"경기","계","2020. 01","자가용","승합",173366
"경기","계","2020. 01","자가용","화물",682010
"경기","계","2020. 01","자가용","특수",6678
"경기","계","2020. 01","영업용","승용",72182
"경기","계","2020. 01","영업용","승합",32482
"경기","계","2020. 01","영업용","화물",113674
"경기","계","2020. 01","영업용","특수",11052
"세종","계","2020. 01","관용","승용",335
"세종","계","2020. 01","관용","승합",169
"세종","계","2020. 01","관용","화물",219
"세종","계","2020. 01","관용","특수",41
"세종","계","2020. 01","자가용","승용",142372
"세종","계","2020. 01","자가용","승합",3861
"세종","계","2020. 01","자가용","화물",14529
"세종","계","2020. 01","자가용","특수",176
"세종","계","2020. 01","영업용","승용",609
"세종","계","2020. 01","영업용","승합",433
"세종","계","2020. 01","영업용","화물",1595
"세종","계","2020. 01","영업용","특수",160
"강원","계","2020. 01","관용","승용",1835
"강원","계","2020. 01","관용","승합",1515
"강원","계","2020. 01","관용","화물",2414
"강원","계","2020. 01","관용","특수",170
"강원","계","2020. 01","자가용","승용",582260
"강원","계","2020. 01","자가용","승합",24464
"강원","계","2020. 01","자가용","화물",145393
"강원","계","2020. 01","자가용","특수",1396
"강원","계","2020. 01","영업용","승용",11985
"강원","계","2020. 01","영업용","승합",3279
"강원","계","2020. 01","영업용","화물",8452
"강원","계","2020. 01","영업용","특수",1645
"충북","계","2020. 01","관용","승용",1346
"충북","계","2020. 01","관용","승합",966
"충북","계","2020. 01","관용","화물",1527
"충북","계","2020. 01","관용","특수",120
"충북","계","2020. 01","자가용","승용",630537
"충북","계","2020. 01","자가용","승합",25403
"충북","계","2020. 01","자가용","화물",142363
"충북","계","2020. 01","자가용","특수",1295
"충북","계","2020. 01","영업용","승용",15020
"충북","계","2020. 01","영업용","승합",3866
"충북","계","2020. 01","영업용","화물",14057
"충북","계","2020. 01","영업용","특수",2691
"충남","계","2020. 01","관용","승용",1891
"충남","계","2020. 01","관용","승합",1162
"충남","계","2020. 01","관용","화물",2309
"충남","계","2020. 01","관용","특수",259
"충남","계","2020. 01","자가용","승용",835957
"충남","계","2020. 01","자가용","승합",35818
"충남","계","2020. 01","자가용","화물",203101
"충남","계","2020. 01","자가용","특수",1708
"충남","계","2020. 01","영업용","승용",13390
"충남","계","2020. 01","영업용","승합",5446
"충남","계","2020. 01","영업용","화물",17402
"충남","계","2020. 01","영업용","특수",2906
"전북","계","2020. 01","관용","승용",1758
"전북","계","2020. 01","관용","승합",1273
"전북","계","2020. 01","관용","화물",2007
"전북","계","2020. 01","관용","특수",156
"전북","계","2020. 01","자가용","승용",686196
"전북","계","2020. 01","자가용","승합",27712
"전북","계","2020. 01","자가용","화물",169717
"전북","계","2020. 01","자가용","특수",1553
"전북","계","2020. 01","영업용","승용",19267
"전북","계","2020. 01","영업용","승합",4234
"전북","계","2020. 01","영업용","화물",15221
"전북","계","2020. 01","영업용","특수",2137
"전남","계","2020. 01","관용","승용",2089
"전남","계","2020. 01","관용","승합",1534
"전남","계","2020. 01","관용","화물",2413
"전남","계","2020. 01","관용","특수",177
"전남","계","2020. 01","자가용","승용",665693
"전남","계","2020. 01","자가용","승합",30520
"전남","계","2020. 01","자가용","화물",220288
"전남","계","2020. 01","자가용","특수",2153
"전남","계","2020. 01","영업용","승용",103284
"전남","계","2020. 01","영업용","승합",7877
"전남","계","2020. 01","영업용","화물",20029
"전남","계","2020. 01","영업용","특수",4722
"경북","계","2020. 01","관용","승용",2617
"경북","계","2020. 01","관용","승합",1717
"경북","계","2020. 01","관용","화물",2888
"경북","계","2020. 01","관용","특수",248
"경북","계","2020. 01","자가용","승용",1057704
"경북","계","2020. 01","자가용","승합",41899
"경북","계","2020. 01","자가용","화물",291305
"경북","계","2020. 01","자가용","특수",2787
"경북","계","2020. 01","영업용","승용",14425
"경북","계","2020. 01","영업용","승합",5439
"경북","계","2020. 01","영업용","화물",23787
"경북","계","2020. 01","영업용","특수",4945
"경남","계","2020. 01","관용","승용",2405
"경남","계","2020. 01","관용","승합",1915
"경남","계","2020. 01","관용","화물",2526
"경남","계","2020. 01","관용","특수",190
"경남","계","2020. 01","자가용","승용",1318906
"경남","계","2020. 01","자가용","승합",45707
"경남","계","2020. 01","자가용","화물",265581
"경남","계","2020. 01","자가용","특수",2378
"경남","계","2020. 01","영업용","승용",49049
"경남","계","2020. 01","영업용","승합",7530
"경남","계","2020. 01","영업용","화물",24760
"경남","계","2020. 01","영업용","특수",5380
"제주","계","2020. 01","관용","승용",855
"제주","계","2020. 01","관용","승합",451
"제주","계","2020. 01","관용","화물",1035
"제주","계","2020. 01","관용","특수",79
"제주","계","2020. 01","자가용","승용",279574
"제주","계","2020. 01","자가용","승합",11544
"제주","계","2020. 01","자가용","화물",75288
"제주","계","2020. 01","자가용","특수",635
"제주","계","2020. 01","영업용","승용",218430
"제주","계","2020. 01","영업용","승합",7752
"제주","계","2020. 01","영업용","화물",3646
"제주","계","2020. 01","영업용","특수",643
"서울","계","2020. 02","관용","승용",4586
"서울","계","2020. 02","관용","승합",3485
"서울","계","2020. 02","관용","화물",3987
"서울","계","2020. 02","관용","특수",351
"서울","계","2020. 02","자가용","승용",2540857
"서울","계","2020. 02","자가용","승합",92398
"서울","계","2020. 02","자가용","화물",268992
"서울","계","2020. 02","자가용","특수",3015
"서울","계","2020. 02","영업용","승용",126079
"서울","계","2020. 02","영업용","승합",17481
"서울","계","2020. 02","영업용","화물",57773
"서울","계","2020. 02","영업용","특수",4980
"부산","계","2020. 02","관용","승용",1657
"부산","계","2020. 02","관용","승합",1231
"부산","계","2020. 02","관용","화물",1614
"부산","계","2020. 02","관용","특수",131
"부산","계","2020. 02","자가용","승용",1079563
"부산","계","2020. 02","자가용","승합",36081
"부산","계","2020. 02","자가용","화물",152924
"부산","계","2020. 02","자가용","특수",1599
"부산","계","2020. 02","영업용","승용",75165
"부산","계","2020. 02","영업용","승합",6223
"부산","계","2020. 02","영업용","화물",33617
"부산","계","2020. 02","영업용","특수",8833
"대구","계","2020. 02","관용","승용",966
"대구","계","2020. 02","관용","승합",871
"대구","계","2020. 02","관용","화물",1330
"대구","계","2020. 02","관용","특수",119
"대구","계","2020. 02","자가용","승용",968892
"대구","계","2020. 02","자가용","승합",26538
"대구","계","2020. 02","자가용","화물",140054
"대구","계","2020. 02","자가용","특수",979
"대구","계","2020. 02","영업용","승용",26756
"대구","계","2020. 02","영업용","승합",4110
"대구","계","2020. 02","영업용","화물",19123
"대구","계","2020. 02","영업용","특수",1959
